Hand,Suited,High card,Pair,Two Pair,Three of a Kind,Straight,Flush,Full House,Four of a Kind,Straight Flush
97,Suited,0.16367356378258982,0.4124752213558874,0.21890445354830185,0.04289395684268157,0.07273169212180709,0.06427627480224282,0.022241310955464517,0.0012592270950933565,0.0015442994959315825
96,Suited,0.1679921274707848,0.41921501255451304,0.22015188128905586,0.04315873435405614,0.0601611319828579,0.0647227623704431,0.022241310955464517,0.0012592270950933565,0.0010978119277313145
95,Suited,0.17187883479016028,0.42595480375313866,0.2213993090298099,0.043423511865430725,0.0480224282127282,0.06516877796446978,0.022241310955464517,0.0012592270950933565,0.0006517963337046197
94,Suited,0.17835668032245275,0.4340425531914894,0.2226467367705639,0.0436882893768053,0.03194462798995639,0.06563603239630728,0.022241310955464517,0.0012592270950933565,0.00018454190186712984
93,Suited,0.17835668032245275,0.4340425531914894,0.2226467367705639,0.0436882893768053,0.03194462798995639,0.06563603239630728,0.022241310955464517,0.0012592270950933565,0.00018454190186712984
92,Suited,0.18051596216655025,0.4353905114312145,0.2226467367705639,0.0436882893768053,0.028437387906133777,0.0656567992599445,0.022241310955464517,0.0012592270950933565,0.00016377503822990805
87,Suited,0.15935500009439482,0.40573543015726177,0.2176570258075478,0.04262917933130699,0.08530225226075629,0.06382978723404255,0.022241310955464517,0.0012592270950933565,0.001990787064131851
86,Suited,0.16367356378258982,0.4124752213558874,0.21890445354830185,0.04289395684268157,0.07273169212180709,0.06427627480224282,0.022241310955464517,0.0012592270950933565,0.0015442994959315825
85,Suited,0.1675602711019653,0.41921501255451304,0.22015188128905586,0.04315873435405614,0.060592988351677396,0.06472229039626952,0.022241310955464517,0.0012592270950933565,0.0010982839019048878
84,Suited,0.17403811663425778,0.42730276199286377,0.2213993090298099,0.043423511865430725,0.044515188128905585,0.065189544828107,0.022241310955464517,0.0012592270950933565,0.000631029470067398
83,Suited,0.18051596216655025,0.4353905114312145,0.2226467367705639,0.0436882893768053,0.028437387906133777,0.0656567992599445,0.022241310955464517,0.0012592270950933565,0.00016377503822990805
82,Suited,0.18051596216655025,0.4353905114312145,0.2226467367705639,0.0436882893768053,0.028437387906133777,0.0656567992599445,0.022241310955464517,0.0012592270950933565,0.00016377503822990805
76,Suited,0.15935500009439482,0.40573543015726177,0.2176570258075478,0.04262917933130699,0.08530225226075629,0.06382978723404255,0.022241310955464517,0.0012592270950933565,0.001990787064131851
75,Suited,0.1632417074137703,0.4124752213558874,0.21890445354830185,0.04289395684268157,0.07316354849062659,0.06427580282806925,0.022241310955464517,0.0012592270950933565,0.0015447714701051559
74,Suited,0.16971955294606278,0.42056297079423816,0.22015188128905586,0.04315873435405614,0.057085748267854786,0.06474305725990674,0.022241310955464517,0.0012592270950933565,0.001077517038267666
73,Suited,0.17619739847835528,0.4286507202325889,0.2213993090298099,0.043423511865430725,0.041007948045082974,0.06521031169174422,0.022241310955464517,0.0012592270950933565,0.0006102626064301761
72,Suited,0.18267524401064775,0.4367384696709396,0.2226467367705639,0.0436882893768053,0.024930147822311163,0.06567756612358172,0.022241310955464517,0.0012592270950933565,0.00014300817459268628
65,Suited,0.15892314372557534,0.40573543015726177,0.2176570258075478,0.04262917933130699,0.08573410862957578,0.06382931525986899,0.022241310955464517,0.0012592270950933565,0.001991259038305424
64,Suited,0.1654009892578678,0.41382317959561254,0.21890445354830185,0.04289395684268157,0.06965630840680398,0.06429656969170647,0.022241310955464517,0.0012592270950933565,0.001524004606467934
63,Suited,0.17187883479016028,0.42191092903396327,0.22015188128905586,0.04315873435405614,0.05357850818403217,0.06476382412354396,0.022241310955464517,0.0012592270950933565,0.0010567501746304442
62,Suited,0.17835668032245275,0.429998678472314,0.2213993090298099,0.043423511865430725,0.03750070796126036,0.06523107855538145,0.022241310955464517,0.0012592270950933565,0.0005894957427929544
54,Suited,0.15849128735675583,0.40573543015726177,0.2176570258075478,0.04262917933130699,0.0861659649983953,0.06382884328569541,0.022241310955464517,0.0012592270950933565,0.001991731012478997
53,Suited,0.1649691328890483,0.41382317959561254,0.21890445354830185,0.04289395684268157,0.07008816477562348,0.06429609771753289,0.022241310955464517,0.0012592270950933565,0.0015244765806415074
52,Suited,0.1714469784213408,0.42191092903396327,0.22015188128905586,0.04315873435405614,0.054010364552851665,0.06476335214937039,0.022241310955464517,0.0012592270950933565,0.0010572221488040175
43,Suited,0.1671284147331458,0.41517113783533766,0.21890445354830185,0.04289395684268157,0.06658092469180087,0.06431686458117011,0.022241310955464517,0.0012592270950933565,0.0015037097170042856
42,Suited,0.17360626026543827,0.4232588872736884,0.22015188128905586,0.04315873435405614,0.050503124469029055,0.06478411901300761,0.022241310955464517,0.0012592270950933565,0.0010364552851667957
32,Suited,0.17576554210953577,0.4246068455134135,0.22015188128905586,0.04315873435405614,0.046995884385206445,0.06480488587664483,0.022241310955464517,0.0012592270950933565,0.0010156884215295739
A9,Off-suited,0.19764862466725822,0.45998225377107366,0.2278644112594159,0.0445449225018407,0.026741112726311616,0.019554361985312164,0.022241310955464517,0.0012592270950933565,0.00016377503822990805
